difficulty,total_hours,enrolled,rating,institution,Label
beginner,120.0,2094.0,4.7,Coursera,-1
intermediate,72.0,0.0,3.9,Google Cloud,-1
beginner,60.0,25072.0,4.7,ESSEC Business School,-1
advanced,176.0,19403.0,4.6,Stanford University,-1
intermediate,9.0,4748.0,4.8,Icahn School of Medicine at Mount Sinai,2
intermediate,12.0,7232.0,4.7,Duke University,8
beginner,1.5,0.0,4.7,Coursera,7
beginner,60.0,0.0,4.4,"University of California, Irvine",-1
beginner,72.0,18613.0,4.8,Technion - Israel Institute of Technology,1
beginner,6.0,0.0,4.7,"University of California, Irvine",5
beginner,2.0,0.0,4.6,EIT Digital ,-1
beginner,1.0,0.0,4.7,Coursera,6
beginner,15.0,122495.0,4.5,"University of California, Santa Cruz",13
beginner,22.0,119652.0,4.7,University of Kentucky,15
beginner,8.0,7669.0,4.8,Universitat Autònoma de Barcelona,1
beginner,7.0,7590.0,4.6,Wesleyan University,10
beginner,8.0,0.0,4.7,,5
intermediate,14.0,18519.0,4.3,Vanderbilt University,12
beginner,72.0,6951.0,4.8,University of Colorado Boulder,1
intermediate,72.0,2525.0,4.6,Google Cloud,-1
beginner,15.0,12044.0,4.8,The World Bank Group,1
intermediate,12.0,114266.0,4.6,"University of California, Santa Cruz",-1
beginner,13.0,78113.0,4.4,University of California San Diego,-1
beginner,19.0,122051.0,4.6,University at Buffalo,10
intermediate,96.0,51412.0,4.6,DeepLearning.AI,-1
beginner,2.0,0.0,4.7,Coursera,7
intermediate,72.0,0.0,3.8,EIT Digital ,-1
beginner,48.0,6843.0,4.8,HubSpot Academy,1
advanced,140.0,7384.0,4.8,University of Colorado Boulder,2
intermediate,26.0,8919.0,4.5,Fundação Instituto de Administração,12
beginner,11.0,26219.0,4.7,University of Virginia,15
intermediate,2.0,0.0,4.7,Coursera,3
beginner,120.0,18188.0,4.7,Coursera,-1
beginner,9.0,185494.0,4.7,University of Michigan,-1
intermediate,10.0,8680.0,3.9,Universidad Nacional Autónoma de México,12
beginner,11.0,46577.0,4.7,,15
beginner,21.0,7793.0,4.8,University of London,1
beginner,10.0,0.0,4.7,,5
beginner,10.0,12403.0,4.4,Berklee College of Music,14
beginner,12.0,0.0,4.7,IBM,5
beginner,48.0,19104.0,4.8,Northwestern University,1
beginner,14.0,1675.0,4.8,University of Virginia,1
intermediate,35.0,65737.0,3.8,Duke University,-1
beginner,18.0,60731.0,4.4,University of California San Diego,14
beginner,3.0,5412.0,4.5,EIT Digital ,-1
intermediate,72.0,0.0,4.6,Google Cloud,-1
beginner,60.0,30396.0,4.8,Berklee College of Music,1
beginner,800.0,22723.0,4.7,National Research Tomsk State University,-1
beginner,72.0,7007.0,4.6,West Virginia University,10
intermediate,3.0,1597.0,5.0,University of Colorado System,-1
beginner,6.0,130522.0,4.7,"University of California, Irvine",-1
intermediate,30.0,41111.0,4.8,University of Washington,2
beginner,2.0,0.0,4.7,Coursera,7
beginner,120.0,2196.0,4.7,Coursera,-1
beginner,29.0,9580.0,4.6,Macquarie University,10
intermediate,31.0,105640.0,4.7,University of Michigan,8
intermediate,8.0,0.0,4.7,,4
beginner,12.0,24169.0,4.4,Sciences Po,14
intermediate,21.0,4213.0,4.8,University of Geneva,2
intermediate,60.0,0.0,4.9,LearnQuest,-1
beginner,32.0,1639.0,4.6,,10
intermediate,60.0,1776.0,4.7,Berklee College of Music,8
intermediate,100.0,75071.0,4.5,Google Cloud,-1
beginner,10.0,58222.0,4.7,University of Copenhagen,15
beginner,9.0,10417.0,4.8,New Teacher Center,1
intermediate,41.0,47085.0,4.0,Yandex,-1
beginner,1.5,1817.0,4.7,Coursera,16
beginner,48.0,0.0,4.6,Berklee College of Music,-1
beginner,6.0,0.0,4.7,"University of California, Irvine",5
advanced,56.0,16324.0,4.9,,-1
intermediate,28.0,146336.0,4.8,University of Washington,2
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
intermediate,2.0,0.0,4.7,Coursera,3
beginner,11.0,2735.0,4.7,Michigan State University,15
intermediate,13.0,19045.0,4.7,University of Michigan,8
intermediate,7.0,0.0,4.7,,4
beginner,17.0,7725.0,4.9,"University of California, Irvine",0
beginner,11.0,103427.0,4.8,University of Colorado Boulder,1
beginner,12.0,7706.0,4.7,Sciences Po,15
intermediate,48.0,21794.0,4.5,DeepLearning.AI,12
advanced,33.0,63318.0,4.5,HSE University,12
beginner,30.0,15733.0,4.7,Yonsei University,15
intermediate,21.0,7417.0,4.8,University of Colorado Boulder,2
intermediate,72.0,0.0,4.2,Google Cloud,-1
beginner,1.0,3721.0,4.7,Coursera,16
beginner,40.0,9772.0,4.7,Berklee College of Music,15
beginner,80.0,17988.0,4.7,MathWorks,-1
beginner,48.0,6146.0,4.6,Macquarie University,10
beginner,13.0,75912.0,4.7,Georgia Institute of Technology,15
beginner,16.0,516406.0,4.8,Princeton University,1
intermediate,1.0,2555.0,4.7,Coursera,9
beginner,40.0,13813.0,4.7,SAS,15
intermediate,24.0,69768.0,4.8,University of Washington,2
beginner,10.0,4349.0,4.6,Rice University,10
beginner,10.0,0.0,4.7,Google Cloud,5
beginner,14.0,9880.0,4.8,"University of California, Irvine",1
intermediate,32.0,15535.0,4.0,HSE University,12
beginner,0.0,0.0,4.7,Coursera,-1
intermediate,120.0,5142.0,4.8,DeepLearning.AI,2
beginner,12.0,5695.0,4.4,Sciences Po,14
intermediate,27.0,0.0,5.0,Peter the Great St. Petersburg Polytechnic University,-1
intermediate,23.0,5454.0,4.8,University of Colorado Boulder,2
advanced,28.0,10302.0,3.8,Yandex,12
advanced,3.0,0.0,4.7,Coursera,3
beginner,2.0,4536.0,4.7,Coursera,16
beginner,48.0,6049.0,4.7,University at Buffalo,15
beginner,84.0,9826.0,4.8,The Museum of Modern Art,1
intermediate,48.0,12072.0,3.9,Google Cloud,12
intermediate,18.0,27409.0,4.7,DeepLearning.AI,8
intermediate,1.0,0.0,4.7,Coursera,3
intermediate,32.0,35133.0,4.7,Arizona State University,8
intermediate,72.0,10779.0,4.7,Google Cloud,8
beginner,18.0,5326.0,4.7,University of California San Diego,15
beginner,2.0,0.0,4.7,Check Point Software Technologies Ltd.,-1
beginner,11.0,0.0,4.7,Google Cloud,5
beginner,2.0,0.0,4.7,Coursera,7
beginner,90.0,26703.0,4.7,Coursera,-1
intermediate,112.0,7876.0,4.8,Imperial College London,2
intermediate,13.0,0.0,4.4,Google Cloud,-1
beginner,11.0,31602.0,4.7,National Taiwan University,15
intermediate,28.0,7576.0,4.8,University of Colorado Boulder,2
intermediate,8.0,0.0,4.5,Alibaba Cloud Academy,-1
beginner,2.0,0.0,4.7,Coursera,7
advanced,3.0,0.0,4.7,Coursera,3
intermediate,64.0,12641.0,4.8,University of Colorado Boulder,2
intermediate,144.0,13242.0,4.8,Northwestern University,2
intermediate,80.0,16842.0,4.1,University of Minnesota,-1
beginner,48.0,6157.0,4.8,SAS,1
intermediate,26.0,5542.0,3.0,University of Minnesota,12
beginner,2.0,0.0,4.7,Coursera,7
intermediate,30.0,50749.0,4.8,Arizona State University,2
beginner,80.0,0.0,4.8,SAS,-1
beginner,11.0,3069.0,4.0,ESSEC Business School,14
beginner,6.0,2650.0,3.3,University of Toronto,-1
beginner,11.0,0.0,4.7,Google Cloud,5
intermediate,13.0,0.0,4.7,Google Cloud,4
intermediate,23.0,6143.0,4.9,University of Colorado Boulder,-1
beginner,19.0,26396.0,4.8,Lund University,1
intermediate,18.0,18571.0,4.7,National Taiwan University,8
intermediate,84.0,2412.0,4.7,Universidad Nacional Autónoma de México,8
beginner,3.0,0.0,4.7,Check Point Software Technologies Ltd.,-1
beginner,1.0,0.0,4.7,Coursera,6
beginner,2.0,0.0,4.7,Coursera,7
beginner,1.5,0.0,4.7,Coursera,7
beginner,64.0,7586.0,4.8,University of Toronto,1
intermediate,80.0,12661.0,3.7,New York University,-1
intermediate,64.0,0.0,4.9,University of Colorado Boulder,-1
beginner,23.0,477113.0,4.7,Princeton University,-1
advanced,37.0,25720.0,4.0,Yandex,12
intermediate,64.0,23393.0,4.6,University of Minnesota,11
beginner,19.0,5699.0,4.6,University of Michigan,10
intermediate,15.0,59679.0,4.8,University of Washington,2
advanced,120.0,8217.0,4.3,Salesforce,-1
advanced,30.0,4297.0,4.6,EIT Digital ,11
beginner,5.0,3965.0,4.7,Check Point Software Technologies Ltd.,15
beginner,10.0,0.0,4.8,Google Cloud,-1
beginner,84.0,3625.0,4.4,University of California San Diego,-1
beginner,13.0,7010.0,4.8,Ludwig-Maximilians-Universität München (LMU),1
intermediate,13.0,0.0,4.8,Google Cloud,-1
intermediate,1.0,2753.0,4.7,Coursera,9
intermediate,1.5,2864.0,4.7,Coursera,9
beginner,32.0,4772.0,4.4,University of Colorado Boulder,14
beginner,28.0,84538.0,4.7,École Polytechnique Fédérale de Lausanne,-1
intermediate,84.0,165427.0,4.7,University of Washington,-1
beginner,11.0,4302.0,4.7,Princeton University,15
intermediate,1.5,0.0,4.7,Coursera,3
beginner,2.0,2256.0,4.7,Coursera,16
beginner,48.0,33084.0,4.6,University of Alberta,10
beginner,96.0,86378.0,4.8,Michigan State University,1
beginner,48.0,6035.0,4.6,Saint Petersburg State University,10
intermediate,18.0,19193.0,4.8,Brightline Initiative,2
beginner,0.0,0.0,4.7,Coursera,-1
intermediate,2.0,0.0,4.7,Coursera,3
beginner,4.0,0.0,4.7,Check Point Software Technologies Ltd.,5
intermediate,64.0,0.0,4.6,Google Cloud,-1
intermediate,68.0,0.0,4.7,EIT Digital ,4
intermediate,30.0,28738.0,4.7,Arizona State University,8
beginner,11.0,0.0,4.7,Google Cloud,5
beginner,1.5,0.0,4.7,Coursera,7
intermediate,1.5,8660.0,4.7,Coursera,9
intermediate,7.0,0.0,4.7,Novosibirsk State University ,4
beginner,80.0,7999.0,4.4,"University of California, Irvine",-1
intermediate,13.0,0.0,4.3,Google Cloud,-1
intermediate,47.0,0.0,4.7,IBM,4
beginner,21.0,12728.0,4.4,University of California San Diego,14
beginner,72.0,2051.0,4.8,Columbia University,1
beginner,140.0,31733.0,4.3,University of Pennsylvania,-1
intermediate,48.0,0.0,4.7,Red Hat,4
beginner,29.0,3500.0,4.8,University of Arizona,1
beginner,32.0,8386.0,4.5,Wesleyan University,13
beginner,64.0,12950.0,4.7,,-1
intermediate,2.0,0.0,4.7,Coursera,3
beginner,21.0,0.0,3.8,National Research Tomsk State University,-1
beginner,22.0,279471.0,4.3,CentraleSupélec,-1
intermediate,33.0,5723.0,4.7,Arizona State University,8
intermediate,80.0,110743.0,4.7,DeepLearning.AI,-1
beginner,7.0,0.0,4.7,University of California San Diego,5
beginner,18.0,0.0,4.7,Google Cloud,5
beginner,2.0,0.0,4.7,Check Point Software Technologies Ltd.,-1
beginner,18.0,0.0,4.7,Yad Vashem ,5
intermediate,13.0,23674.0,4.5,Google Cloud,12
beginner,96.0,22839.0,4.9,Arizona State University,0
advanced,30.0,9196.0,3.4,LearnQuest,12
beginner,7.0,9099.0,4.7,University of Colorado Boulder,15
beginner,6.0,39164.0,4.8,Universidad de los Andes,1
intermediate,22.0,7716.0,4.6,University of Glasgow ,11
beginner,80.0,0.0,4.7,Imperial College London,-1
beginner,96.0,4505.0,4.6,University of Colorado System,-1
intermediate,80.0,15776.0,4.9,Universidad de los Andes,-1
beginner,64.0,117615.0,4.5,Imperial College London,-1
beginner,2.0,0.0,4.7,Coursera,7
beginner,1.0,0.0,4.7,Coursera,6
beginner,56.0,73720.0,4.7,Northwestern University,-1
beginner,13.0,0.0,4.7,University of Michigan,5
intermediate,31.0,8490.0,4.7,University of Washington,8
advanced,128.0,26911.0,4.7,IBM,8
beginner,9.0,5981.0,4.5,Indian School of Business,13
intermediate,14.0,46079.0,4.3,Google Cloud,12
beginner,11.0,24571.0,4.7,Google Cloud,15
intermediate,7.0,9572.0,4.8,Universidad Nacional Autónoma de México,2
beginner,25.0,4952.0,4.6,Arizona State University,10
beginner,96.0,59243.0,4.9,Arizona State University,0
intermediate,10.0,13344.0,4.8,"University of California, Irvine",2
beginner,100.0,89976.0,4.7,"University of California, Davis",-1
beginner,16.0,12384.0,4.5,Rice University,13
beginner,96.0,17634.0,4.3,HSE University,-1
beginner,19.0,111619.0,4.3,University of California San Diego,14
intermediate,100.0,2753.0,4.7,Coursera,8
intermediate,60.0,14883.0,4.6,Rice University,11
beginner,64.0,13246.0,4.6,Copenhagen Business School,10
intermediate,100.0,25995.0,4.8,University of Alberta,2
beginner,21.0,94033.0,4.5,The Hong Kong University of Science and Technology,13
advanced,2.0,0.0,4.7,Coursera,3
beginner,65.0,4654.0,4.7,Coursera,-1
intermediate,60.0,4430.0,4.7,IBM,8
intermediate,24.0,1593.0,3.8,Moscow Institute of Physics and Technology,12
intermediate,10.0,0.0,4.1,Google Cloud,-1
intermediate,9.0,7703.0,4.8,Unity,2
beginner,2.0,0.0,4.7,Coursera,7
beginner,2.0,0.0,4.7,Coursera,7
intermediate,80.0,15743.0,4.5,Icahn School of Medicine at Mount Sinai,12
beginner,17.0,72476.0,4.3,Moscow Institute of Physics and Technology,14
beginner,22.0,5212.0,4.4,Arizona State University,14
beginner,2.5,2727.0,4.7,Coursera,16
intermediate,100.0,25179.0,4.7,Coursera,8
beginner,9.0,11546.0,4.7,University of Michigan,15
beginner,80.0,70032.0,4.1,"University of California, Davis",-1
beginner,10.0,4655.0,4.7,University of Colorado Boulder,15
intermediate,48.0,10057.0,4.9,University of Pennsylvania,-1
beginner,100.0,11631.0,4.7,Palo Alto Networks,-1
intermediate,56.0,30860.0,4.5,Tecnológico de Monterrey,-1
intermediate,2.0,4207.0,4.7,Coursera,9
intermediate,2.0,0.0,4.7,Coursera,3
beginner,40.0,47915.0,4.7,University System of Georgia,-1
intermediate,11.0,13950.0,4.6,IE Business School,11
beginner,22.0,22837.0,4.7,The Hong Kong University of Science and Technology,15
beginner,200.0,0.0,4.8,IBM,-1
beginner,1.0,0.0,4.7,Coursera,6
beginner,120.0,2943.0,4.7,Coursera,-1
intermediate,12.0,0.0,4.7,Google Cloud,4
beginner,4.0,9115.0,4.1,Vanderbilt University,-1
beginner,3.0,92791.0,4.8,Osmosis,1
beginner,12.0,8308.0,4.6,University of Virginia,10
beginner,9.0,35407.0,4.7,California Institute of the Arts,15
beginner,13.0,23571.0,4.5,Arizona State University,13
beginner,9.0,31833.0,4.8,IBM,1
beginner,48.0,8875.0,4.6,LearnQuest,10
intermediate,16.0,2857.0,4.7,University of Colorado Boulder,8
intermediate,18.0,6811.0,4.8,IBM,2
beginner,17.0,38369.0,4.4,Case Western Reserve University,14
intermediate,9.0,10393.0,4.3,National Research Tomsk State University,12
intermediate,60.0,3919.0,4.1,Shanghai Jiao Tong University,12
beginner,72.0,37976.0,4.6,IE Business School,10
beginner,84.0,3989.0,4.8,University of Colorado System,1
intermediate,60.0,13240.0,4.3,University of Minnesota,-1
intermediate,40.0,32069.0,4.7,University System of Georgia,8
beginner,14.0,0.0,4.7,Saint Petersburg State University,5
beginner,90.0,42090.0,4.9,Hebrew University of Jerusalem,0
intermediate,26.0,4615.0,4.7,Shanghai Jiao Tong University,8
beginner,0.0,7421.0,4.9,Cresça com o Google,-1
beginner,13.0,0.0,4.5,University of Cape Town,-1
beginner,9.0,24932.0,4.4,IE Business School,14
intermediate,12.0,0.0,4.7,Google Cloud,4
beginner,17.0,53758.0,4.8,University of Illinois at Urbana-Champaign,1
intermediate,13.0,9502.0,4.2,IBM,12
beginner,6.0,46607.0,4.9,Stanford University,0
advanced,33.0,8919.0,4.8,Peking University,2
beginner,72.0,87284.0,4.7,Rutgers the State University of New Jersey,-1
beginner,10.0,3523.0,4.8,Michigan State University,1
beginner,14.0,59173.0,4.7,Georgia Institute of Technology,15
beginner,25.0,22540.0,4.4,Peking University,14
beginner,96.0,25425.0,4.8,Shanghai Jiao Tong University,1
beginner,72.0,35247.0,4.6,IE Business School,10
beginner,48.0,0.0,4.2,Stanford University,-1
beginner,1.0,0.0,4.7,Coursera,6
beginner,64.0,3338.0,4.7,Advancing Women in Product,-1
advanced,192.0,5320.0,4.7,IBM,-1
advanced,48.0,10321.0,4.2,University of Colorado Boulder,12
beginner,20.0,4465.0,3.8,The Hong Kong University of Science and Technology,14
beginner,44.0,121195.0,4.9,Hebrew University of Jerusalem,0
beginner,14.0,70101.0,4.7,IE Business School,15
intermediate,1.5,0.0,4.7,Coursera,3
beginner,66.0,0.0,4.1,University at Buffalo,-1
intermediate,12.0,0.0,4.7,Google Cloud,4
beginner,11.0,8314.0,4.6,University of Pennsylvania,10
beginner,11.0,3742.0,4.7,University of Houston,15
advanced,18.0,16578.0,4.8,Peking University,2
beginner,2.5,0.0,4.7,Coursera,-1
intermediate,48.0,3056.0,4.6,New York Institute of Finance,11
beginner,8.0,45785.0,4.8,Universidad Nacional Autónoma de México,1
beginner,2.0,0.0,4.7,Coursera,7
beginner,16.0,15557.0,4.6,"University of California, Irvine",10
beginner,14.0,3771.0,4.1,University of California San Diego,14
beginner,28.0,25965.0,4.5,,13
intermediate,56.0,27526.0,4.6,Northwestern University,11
intermediate,240.0,0.0,4.4,University of Colorado Boulder,-1
beginner,100.0,33289.0,4.7,Universidad Austral,-1
beginner,25.0,22959.0,4.8,Rice University,1
advanced,140.0,44906.0,4.7,University of Toronto,-1
intermediate,23.0,18774.0,4.9,California Institute of the Arts,-1
beginner,1.0,0.0,4.7,Coursera,6
beginner,96.0,0.0,4.6,CertNexus,-1
intermediate,12.0,0.0,4.7,Google Cloud,4
beginner,19.0,2662.0,4.7,Michigan State University,15
intermediate,24.0,14908.0,4.8,HSE University,2
intermediate,56.0,26286.0,4.8,Peking University,2
beginner,7.0,1170576.0,4.9,,-1
intermediate,1.5,0.0,4.7,Coursera,3
intermediate,1.5,9369.0,4.7,Coursera,9
beginner,40.0,10677.0,4.4,Rutgers the State University of New Jersey,-1
beginner,27.0,225600.0,4.6,University of Amsterdam,10
beginner,19.0,28982.0,4.7,University of Toronto,15
beginner,1.0,0.0,4.7,Coursera,6
beginner,2.0,0.0,4.7,Coursera,7
beginner,2.0,0.0,4.7,Coursera,7
intermediate,2.0,2165.0,4.7,Coursera,9
beginner,32.0,18181.0,4.7,BCG,15
beginner,24.0,0.0,4.7,Google Cloud,5
beginner,60.0,1910.0,4.8,Emory University,1
beginner,64.0,26770.0,4.5,"University of California, Davis",-1
intermediate,12.0,5000.0,4.1,Northeastern University ,12
intermediate,64.0,49438.0,4.7,Google Cloud,8
beginner,7.0,11441.0,4.5,Insper,13
intermediate,12.0,19586.0,4.6,Google Cloud,11
beginner,7.0,13011.0,4.7,Rice University,15
intermediate,27.0,9554.0,4.8,Peking University,2
beginner,8.0,4371.0,4.5,Peter the Great St. Petersburg Polytechnic University,13
beginner,12.0,18254.0,4.4,Tecnológico de Monterrey,14
beginner,9.0,0.0,4.7,University of Geneva,5
intermediate,1.5,0.0,4.7,Coursera,3
beginner,120.0,2890.0,4.7,Coursera,-1
beginner,20.0,88541.0,4.7,University of Toronto,15
intermediate,64.0,8675.0,4.7,University of Leeds,8
beginner,96.0,982472.0,4.8,University of Michigan,-1
advanced,64.0,6349.0,4.3,University of Colorado Boulder,12
beginner,60.0,76532.0,4.7,University of Michigan,-1
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
beginner,2.0,2977.0,4.7,Coursera,16
beginner,9.0,67808.0,4.6,University of Colorado Boulder,10
intermediate,20.0,0.0,4.7,CertNexus,4
beginner,17.0,150126.0,4.9,University of London,0
intermediate,32.0,14964.0,4.7,Google Cloud,8
intermediate,2.0,0.0,4.7,Coursera,3
intermediate,22.0,9777.0,4.6,Moscow Institute of Physics and Technology,11
advanced,132.0,2561.0,4.4,IBM,-1
intermediate,10.0,0.0,4.7,Saint Petersburg State University,4
beginner,17.0,8556.0,4.8,University of Lausanne,1
intermediate,60.0,17669.0,4.7,Peking University,8
beginner,17.0,25670.0,4.8,Macquarie University,1
beginner,96.0,5283.0,4.8,Macquarie University,1
beginner,96.0,12047.0,4.7,Rice University,-1
beginner,14.0,69929.0,4.7,Emory University,15
intermediate,0.0,0.0,4.7,Coursera,-1
beginner,80.0,24393.0,4.6,,10
intermediate,40.0,10586.0,4.1,University of California San Diego,12
beginner,80.0,2956.0,4.7,IBM,-1
intermediate,14.0,28779.0,4.7,IE Business School,8
beginner,2.0,0.0,4.7,Coursera,7
intermediate,2.0,0.0,4.7,Coursera,3
intermediate,2.0,6820.0,4.7,Coursera,9
beginner,8.0,18733.0,4.4,Indian School of Business,14
intermediate,60.0,0.0,4.6,Google Cloud,-1
beginner,6.0,3028.0,4.9,Stanford University,0
intermediate,21.0,9281.0,4.1,,12
beginner,0.0,0.0,4.7,,-1
beginner,2.0,0.0,4.7,Coursera,7
beginner,2.0,4377.0,4.7,Coursera,16
beginner,5.0,5718.0,4.8,Università Bocconi,1
intermediate,12.0,14275.0,4.7,University of Florida,8
beginner,22.0,17362.0,4.5,Peking University,13
intermediate,11.0,0.0,4.7,Saint Petersburg State University,4
beginner,48.0,33181.0,4.6,Copenhagen Business School,10
intermediate,2.0,2346.0,4.7,Coursera,9
beginner,13.0,33843.0,4.8,Google,1
beginner,7.0,3341.0,4.8,Politecnico di Milano,1
intermediate,12.0,0.0,4.3,EIT Digital ,-1
beginner,72.0,5200.0,4.8,University System of Georgia,1
beginner,36.0,6438.0,4.7,IBM,15
beginner,9.0,16214.0,3.9,,14
beginner,120.0,66182.0,4.7,Duke University,-1
beginner,140.0,127380.0,4.6,University of Michigan,-1
beginner,56.0,3877.0,4.7,University of Colorado System,15
beginner,29.0,0.0,4.7,Salesforce,5
intermediate,17.0,11232.0,4.6,University of Illinois at Urbana-Champaign,11
intermediate,72.0,0.0,4.7,CertNexus,4
beginner,15.0,4913.0,4.7,University of Colorado Boulder,15
intermediate,1.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
intermediate,23.0,5451.0,4.5,Amazon Web Services,12
beginner,16.0,3706.0,4.7,IBM,15
intermediate,16.0,0.0,4.7,Saint Petersburg State University,4
beginner,37.0,54144.0,4.9,Peking University,0
beginner,96.0,68172.0,4.7,University of Illinois at Urbana-Champaign,-1
beginner,120.0,33306.0,4.8,Vanderbilt University,1
beginner,20.0,149277.0,4.7,"University of California, Irvine",15
intermediate,28.0,20018.0,4.8,The University of Melbourne,2
beginner,11.0,19907.0,4.8,Korea Advanced Institute of Science and Technology(KAIST),1
beginner,96.0,2551.0,4.3,University of Pennsylvania,-1
beginner,11.0,17884.0,4.5,Indian School of Business,13
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
intermediate,64.0,6141.0,4.6,"University of California, Davis",11
intermediate,13.0,6905.0,4.5,University of Pennsylvania,12
beginner,0.0,18377.0,4.9,Crece con Google,-1
intermediate,1.5,5967.0,4.7,Coursera,9
intermediate,1.0,3488.0,4.7,Coursera,9
intermediate,2.0,0.0,4.7,Coursera,3
beginner,18.0,0.0,4.0,Saint Petersburg State University,-1
advanced,12.0,9970.0,3.5,Columbia University,12
intermediate,23.0,3924.0,4.4,Amazon Web Services,12
beginner,14.0,3066.0,4.7,University of Colorado Boulder,15
beginner,1.0,0.0,4.7,Google - Spectrum Sharing,-1
beginner,21.0,911282.0,4.8,Peking University,1
advanced,40.0,23950.0,4.2,ESSEC Business School,12
intermediate,25.0,2772.0,4.8,EIT Digital ,2
beginner,13.0,0.0,4.7,The State University of New York,5
beginner,5.0,78037.0,4.4,Duke University,-1
beginner,100.0,3876.0,4.7,Yale University,-1
